Archivo,Primer Umbral Superado,Segundo Umbral Superado,Inversa
170,8.2128e-05,0.000817625092,1359.6246822414357
171,2.9928e-05,0.00074902706,1390.6289906706318
172,7.9328e-05,0.000782424132,1422.2806163866082
173,0.000245079598,0.000946715367,1425.240907294736
174,3.2328e-05,0.000705020164,1486.5640682563385
175,3.3128e-05,0.000690814791,1520.480589977365
176,0.000181268155,0.00090234741,1386.8101086890929
177,0.000226051493,0.000929921799,1420.7162761032855
178,9.1428e-05,0.000719125015,1593.1253074383349
179,3.6528e-05,0.000650027284,1629.9937523643466
180,0.000174503024,0.000788157864,1629.5805635624092
181,3.8328e-05,0.000624626031,1705.617189766752
182,0.000171443553,0.00075378767,1717.1977372272484
183,4.0128e-05,0.000600225281,1785.4041323225063
184,9.8928e-05,0.00064642314,1826.5002315819643
185,4.1928e-05,0.000577022591,1868.8284591536826
186,4.2928e-05,0.000566018117,1911.7164853642225
187,0.00016441122,0.000716918504,1809.9308895265171
188,0.000213574746,0.000757275804,1839.2460071321034
189,4.5728e-05,0.000534007885,2048.0057252409647
190,4.6728e-05,0.000524000792,2095.2378110839386
191,4.7728e-05,0.000514189506,2143.7996214847362
192,4.8728e-05,0.000504581424,2193.687592001064
193,4.9728e-05,0.000495257148,2244.5220576230404
194,5.0728e-05,0.000486256998,2296.0583671629597
195,5.1728e-05,0.000477176104,2350.462936838003
196,0.000155116506,0.000577023979,2370.187929807065
197,5.3928e-05,0.000460466698,2459.790433037693
198,5.4928e-05,0.000451974839,2518.594537910425
199,5.6128e-05,0.000444188633,2576.916891232304
200,0.000152537263,0.00053834578,2591.959368279058
201,9.55597969e-05,0.000478747656,2609.6860228001938
202,4.64519908e-09,0.000343003303,2915.4633035923143
203,9.1570033e-05,0.000458128128,2728.080524316343
204,9.06517011e-05,0.000448715726,2792.7966242329976
205,8.83872937e-05,0.000438574456,2855.6158182158465
206,8.68244843e-05,0.000428968632,2922.7447165830918
207,8.52850226e-05,0.000419097257,2995.6960738644516
208,8.37777825e-05,0.000409878534,3066.5369380481175
209,8.29319947e-05,0.000402191862,3132.244614573891
210,8.15267622e-05,0.000393508855,3205.312173609472
211,7.93855436e-05,0.000383683628,3286.251380687298
212,7.79847723e-05,0.000375322945,3363.1739608790567
213,7.6578016e-05,0.000367035909,3442.839819815122
214,3.128e-07,0.000257547392,3887.502035496065
215,7.38960828e-05,0.000351789845,3598.4974692605742
216,7.2584585e-05,0.000343925145,3685.4055287569245
217,7.12998238e-05,0.000336636442,3768.7975628235395
218,7.00370903e-05,0.00032896864,3862.0245433922883
219,6.87947628e-05,0.000321919857,3950.615813736258
220,4.528e-07,0.000222954282,4494.35208705711
221,5.128e-07,0.000217690396,4604.5265184720065
222,6.54064958e-05,0.000301277609,4239.603512415187
223,5.028e-07,0.000207406609,4833.163801252204
224,6.3456698e-05,0.000288655662,4440.5177636607605
225,4.428e-07,0.000197538174,5073.685798429749
226,4.228e-07,0.000192794531,5198.268970195002
227,5.94721749e-05,0.00026964218,4758.052889251227
228,5.83762136e-05,0.000264030294,4862.534203333025
229,5.73160619e-05,0.000257896164,4985.539390649258
230,5.62793272e-05,0.000252566799,5094.568648878995
231,3.828e-07,0.00017075523,5869.494260309605
232,5.42359117e-05,0.000241350222,5344.326676012658
233,3.828e-07,0.000162764432,6158.331996564734
234,5.22786383e-05,0.000231109077,5591.889206722614
235,5.13255685e-05,0.000225874063,5729.06688691033
