time,v(n0),v(n1),v(n2),v(n3),v(n4),v(n5),v(n6),v(n7),v(n8),v(n9)
4.28916085e-05,3.14318734e-01,3.14318899e-01,3.14318819e-01,3.14318898e-01,3.14318969e-01,3.14318898e-01,3.14318737e-01,3.14318737e-01,3.14318780e-01,3.14318783e-01
4.28933808e-05,3.14318734e-01,3.14318899e-01,3.14318819e-01,3.14318898e-01,3.14318969e-01,3.14318898e-01,3.14318738e-01,3.14318737e-01,3.14318780e-01,3.14318783e-01
4.28952102e-05,3.14318734e-01,3.14318899e-01,3.14318819e-01,3.14318898e-01,3.14318969e-01,3.14318898e-01,3.14318738e-01,3.14318737e-01,3.14318780e-01,3.14318783e-01
4.28969196e-05,3.14318734e-01,3.14318899e-01,3.14318819e-01,3.14318898e-01,3.14318969e-01,3.14318898e-01,3.14318738e-01,3.14318737e-01,3.14318780e-01,3.14318783e-01
4.29003385e-05,3.14318734e-01,3.14318898e-01,3.14318819e-01,3.14318898e-01,3.14318969e-01,3.14318898e-01,3.14318738e-01,3.14318737e-01,3.14318780e-01,3.14318783e-01
4.29071762e-05,3.14318733e-01,3.14318898e-01,3.14318818e-01,3.14318898e-01,3.14318969e-01,3.14318898e-01,3.14318739e-01,3.14318738e-01,3.14318780e-01,3.14318783e-01
4.29171762e-05,3.14318734e-01,3.14318899e-01,3.14318818e-01,3.14318898e-01,3.14318969e-01,3.14318898e-01,3.14318739e-01,3.14318738e-01,3.14318780e-01,3.14318783e-01
4.29271762e-05,3.14318734e-01,3.14318899e-01,3.14318817e-01,3.14318898e-01,3.14318969e-01,3.14318898e-01,3.14318739e-01,3.14318737e-01,3.14318779e-01,3.14318783e-01
4.29371762e-05,3.14318733e-01,3.14318899e-01,3.14318817e-01,3.14318899e-01,3.14318970e-01,3.14318899e-01,3.14318738e-01,3.14318737e-01,3.14318779e-01,3.14318783e-01
4.29471762e-05,3.14318732e-01,3.14318899e-01,3.14318817e-01,3.14318899e-01,3.14318970e-01,3.14318898e-01,3.14318738e-01,3.14318737e-01,3.14318779e-01,3.14318782e-01
4.29571762e-05,3.14318731e-01,3.14318899e-01,3.14318817e-01,3.14318899e-01,3.14318969e-01,3.14318898e-01,3.14318738e-01,3.14318736e-01,3.14318779e-01,3.14318781e-01
4.29584262e-05,3.14318731e-01,3.14318899e-01,3.14318817e-01,3.14318899e-01,3.14318969e-01,3.14318898e-01,3.14318738e-01,3.14318736e-01,3.14318779e-01,3.14318781e-01
4.29587387e-05,3.14318732e-01,3.14318899e-01,3.14318817e-01,3.14318899e-01,3.14318969e-01,3.14318898e-01,3.14318738e-01,3.14318736e-01,3.14318779e-01,3.14318781e-01
4.29593637e-05,3.14318732e-01,3.14318899e-01,3.14318817e-01,3.14318899e-01,3.14318969e-01,3.14318898e-01,3.14318738e-01,3.14318736e-01,3.14318779e-01,3.14318781e-01
4.29606137e-05,3.14318732e-01,3.14318899e-01,3.14318818e-01,3.14318899e-01,3.14318969e-01,3.14318898e-01,3.14318738e-01,3.14318736e-01,3.14318779e-01,3.14318781e-01
4.29607783e-05,3.14318732e-01,3.14318899e-01,3.14318818e-01,3.14318899e-01,3.14318969e-01,3.14318898e-01,3.14318738e-01,3.14318736e-01,3.14318779e-01,3.14318781e-01
4.29611076e-05,3.14318732e-01,3.14318899e-01,3.14318818e-01,3.14318899e-01,3.14318969e-01,3.14318898e-01,3.14318738e-01,3.14318736e-01,3.14318779e-01,3.14318781e-01
4.29617662e-05,3.14318732e-01,3.14318899e-01,3.14318818e-01,3.14318899e-01,3.14318969e-01,3.14318898e-01,3.14318738e-01,3.14318736e-01,3.14318779e-01,3.14318781e-01
4.29618759e-05,3.14318732e-01,3.14318899e-01,3.14318818e-01,3.14318899e-01,3.14318969e-01,3.14318898e-01,3.14318738e-01,3.14318736e-01,3.14318779e-01,3.14318781e-01
4.29620953e-05,3.14318732e-01,3.14318899e-01,3.14318818e-01,3.14318899e-01,3.14318969e-01,3.14318898e-01,3.14318738e-01,3.14318736e-01,3.14318779e-01,3.14318781e-01
4.29621501e-05,3.14318732e-01,3.14318899e-01,3.14318818e-01,3.14318899e-01,3.14318969e-01,3.14318898e-01,3.14318738e-01,3.14318736e-01,3.14318779e-01,3.14318781e-01
4.29622598e-05,3.14318732e-01,3.14318899e-01,3.14318818e-01,3.14318899e-01,3.14318969e-01,3.14318898e-01,3.14318738e-01,3.14318736e-01,3.14318779e-01,3.14318781e-01
4.29624792e-05,3.14318732e-01,3.14318899e-01,3.14318818e-01,3.14318899e-01,3.14318969e-01,3.14318898e-01,3.14318738e-01,3.14318736e-01,3.14318779e-01,3.14318781e-01
4.29627144e-05,3.14318732e-01,3.14318899e-01,3.14318818e-01,3.14318899e-01,3.14318969e-01,3.14318898e-01,3.14318739e-01,3.14318736e-01,3.14318779e-01,3.14318781e-01
4.29630078e-05,3.14318732e-01,3.14318899e-01,3.14318818e-01,3.14318899e-01,3.14318969e-01,3.14318898e-01,3.14318739e-01,3.14318736e-01,3.14318779e-01,3.14318781e-01
4.29632765e-05,3.14318732e-01,3.14318899e-01,3.14318818e-01,3.14318899e-01,3.14318969e-01,3.14318898e-01,3.14318739e-01,3.14318736e-01,3.14318779e-01,3.14318781e-01
4.29635525e-05,3.14318732e-01,3.14318899e-01,3.14318818e-01,3.14318899e-01,3.14318969e-01,3.14318898e-01,3.14318739e-01,3.14318736e-01,3.14318779e-01,3.14318781e-01
4.29638396e-05,3.14318732e-01,3.14318899e-01,3.14318818e-01,3.14318899e-01,3.14318969e-01,3.14318898e-01,3.14318739e-01,3.14318736e-01,3.14318780e-01,3.14318781e-01
4.29642325e-05,3.14318732e-01,3.14318899e-01,3.14318818e-01,3.14318899e-01,3.14318969e-01,3.14318898e-01,3.14318739e-01,3.14318737e-01,3.14318780e-01,3.14318781e-01
4.29646626e-05,3.14318732e-01,3.14318899e-01,3.14318818e-01,3.14318899e-01,3.14318969e-01,3.14318898e-01,3.14318739e-01,3.14318737e-01,3.14318780e-01,3.14318781e-01
4.29655055e-05,3.14318732e-01,3.14318899e-01,3.14318818e-01,3.14318899e-01,3.14318969e-01,3.14318898e-01,3.14318739e-01,3.14318737e-01,3.14318780e-01,3.14318781e-01
4.29666164e-05,3.14318732e-01,3.14318899e-01,3.14318818e-01,3.14318899e-01,3.14318969e-01,3.14318898e-01,3.14318739e-01,3.14318737e-01,3.14318780e-01,3.14318781e-01
4.29683922e-05,3.14318732e-01,3.14318899e-01,3.14318818e-01,3.14318899e-01,3.14318969e-01,3.14318898e-01,3.14318739e-01,3.14318737e-01,3.14318780e-01,3.14318782e-01
4.29711812e-05,3.14318732e-01,3.14318899e-01,3.14318818e-01,3.14318899e-01,3.14318969e-01,3.14318898e-01,3.14318739e-01,3.14318737e-01,3.14318780e-01,3.14318782e-01
4.29754434e-05,3.14318733e-01,3.14318898e-01,3.14318818e-01,3.14318899e-01,3.14318968e-01,3.14318898e-01,3.14318739e-01,3.14318737e-01,3.14318781e-01,3.14318782e-01
4.29837586e-05,3.14318734e-01,3.14318898e-01,3.14318818e-01,3.14318899e-01,3.14318969e-01,3.14318897e-01,3.14318739e-01,3.14318738e-01,3.14318781e-01,3.14318782e-01
4.29937586e-05,3.14318735e-01,3.14318898e-01,3.14318818e-01,3.14318899e-01,3.14318969e-01,3.14318898e-01,3.14318738e-01,3.14318739e-01,3.14318781e-01,3.14318782e-01
4.30037586e-05,3.14318734e-01,3.14318899e-01,3.14318817e-01,3.14318899e-01,3.14318970e-01,3.14318898e-01,3.14318738e-01,3.14318739e-01,3.14318780e-01,3.14318782e-01
4.30108314e-05,3.14318734e-01,3.14318898e-01,3.14318817e-01,3.14318898e-01,3.14318969e-01,3.14318898e-01,3.14318738e-01,3.14318738e-01,3.14318780e-01,3.14318782e-01
4.30174667e-05,3.14318735e-01,3.14318898e-01,3.14318816e-01,3.14318898e-01,3.14318968e-01,3.14318897e-01,3.14318738e-01,3.14318738e-01,3.14318780e-01,3.14318782e-01
4.30267083e-05,3.14318736e-01,3.14318898e-01,3.14318816e-01,3.14318897e-01,3.14318968e-01,3.14318896e-01,3.14318738e-01,3.14318739e-01,3.14318780e-01,3.14318781e-01
4.30367083e-05,3.14318735e-01,3.14318897e-01,3.14318816e-01,3.14318897e-01,3.14318968e-01,3.14318896e-01,3.14318738e-01,3.14318739e-01,3.14318779e-01,3.14318780e-01
4.30467083e-05,3.14318734e-01,3.14318898e-01,3.14318817e-01,3.14318897e-01,3.14318968e-01,3.14318896e-01,3.14318738e-01,3.14318738e-01,3.14318779e-01,3.14318780e-01
4.30567083e-05,3.14318733e-01,3.14318899e-01,3.14318817e-01,3.14318898e-01,3.14318968e-01,3.14318897e-01,3.14318738e-01,3.14318738e-01,3.14318779e-01,3.14318781e-01
4.30667083e-05,3.14318732e-01,3.14318899e-01,3.14318817e-01,3.14318898e-01,3.14318969e-01,3.14318897e-01,3.14318737e-01,3.14318737e-01,3.14318779e-01,3.14318780e-01
4.30767083e-05,3.14318731e-01,3.14318899e-01,3.14318817e-01,3.14318899e-01,3.14318970e-01,3.14318897e-01,3.14318737e-01,3.14318737e-01,3.14318779e-01,3.14318780e-01
4.30867083e-05,3.14318731e-01,3.14318899e-01,3.14318817e-01,3.14318898e-01,3.14318970e-01,3.14318898e-01,3.14318737e-01,3.14318736e-01,3.14318779e-01,3.14318780e-01
4.30938259e-05,3.14318730e-01,3.14318899e-01,3.14318817e-01,3.14318898e-01,3.14318969e-01,3.14318898e-01,3.14318737e-01,3.14318736e-01,3.14318780e-01,3.14318781e-01
4.31004355e-05,3.14318730e-01,3.14318899e-01,3.14318818e-01,3.14318898e-01,3.14318969e-01,3.14318898e-01,3.14318737e-01,3.14318736e-01,3.14318780e-01,3.14318781e-01
4.31097084e-05,3.14318729e-01,3.14318898e-01,3.14318818e-01,3.14318897e-01,3.14318969e-01,3.14318898e-01,3.14318737e-01,3.14318736e-01,3.14318780e-01,3.14318780e-01
4.31197084e-05,3.14318728e-01,3.14318898e-01,3.14318818e-01,3.14318898e-01,3.14318969e-01,3.14318898e-01,3.14318737e-01,3.14318735e-01,3.14318780e-01,3.14318780e-01
4.31297084e-05,3.14318729e-01,3.14318899e-01,3.14318817e-01,3.14318898e-01,3.14318970e-01,3.14318898e-01,3.14318737e-01,3.14318735e-01,3.14318780e-01,3.14318780e-01
4.31397084e-05,3.14318730e-01,3.14318899e-01,3.14318817e-01,3.14318898e-01,3.14318970e-01,3.14318899e-01,3.14318737e-01,3.14318735e-01,3.14318780e-01,3.14318780e-01
4.31497084e-05,3.14318730e-01,3.14318899e-01,3.14318817e-01,3.14318899e-01,3.14318970e-01,3.14318898e-01,3.14318736e-01,3.14318734e-01,3.14318779e-01,3.14318779e-01
4.31597084e-05,3.14318730e-01,3.14318899e-01,3.14318817e-01,3.14318899e-01,3.14318970e-01,3.14318898e-01,3.14318736e-01,3.14318735e-01,3.14318779e-01,3.14318779e-01
4.31697084e-05,3.14318731e-01,3.14318899e-01,3.14318817e-01,3.14318900e-01,3.14318970e-01,3.14318898e-01,3.14318735e-01,3.14318735e-01,3.14318778e-01,3.14318779e-01
4.31797084e-05,3.14318731e-01,3.14318898e-01,3.14318817e-01,3.14318899e-01,3.14318970e-01,3.14318898e-01,3.14318735e-01,3.14318735e-01,3.14318778e-01,3.14318779e-01
4.31897084e-05,3.14318731e-01,3.14318898e-01,3.14318817e-01,3.14318899e-01,3.14318970e-01,3.14318898e-01,3.14318735e-01,3.14318735e-01,3.14318779e-01,3.14318779e-01
4.31997084e-05,3.14318730e-01,3.14318899e-01,3.14318817e-01,3.14318898e-01,3.14318970e-01,3.14318898e-01,3.14318736e-01,3.14318735e-01,3.14318779e-01,3.14318779e-01
4.32097084e-05,3.14318730e-01,3.14318899e-01,3.14318818e-01,3.14318899e-01,3.14318970e-01,3.14318899e-01,3.14318736e-01,3.14318734e-01,3.14318779e-01,3.14318779e-01
4.32197084e-05,3.14318730e-01,3.14318899e-01,3.14318818e-01,3.14318899e-01,3.14318970e-01,3.14318898e-01,3.14318735e-01,3.14318734e-01,3.14318779e-01,3.14318780e-01
4.32297084e-05,3.14318731e-01,3.14318899e-01,3.14318818e-01,3.14318899e-01,3.14318970e-01,3.14318898e-01,3.14318735e-01,3.14318735e-01,3.14318779e-01,3.14318781e-01
4.32397084e-05,3.14318731e-01,3.14318899e-01,3.14318817e-01,3.14318899e-01,3.14318970e-01,3.14318898e-01,3.14318735e-01,3.14318735e-01,3.14318779e-01,3.14318781e-01
4.32497084e-05,3.14318731e-01,3.14318899e-01,3.14318817e-01,3.14318899e-01,3.14318970e-01,3.14318899e-01,3.14318735e-01,3.14318735e-01,3.14318779e-01,3.14318780e-01
4.32597084e-05,3.14318732e-01,3.14318899e-01,3.14318817e-01,3.14318899e-01,3.14318970e-01,3.14318899e-01,3.14318735e-01,3.14318734e-01,3.14318779e-01,3.14318780e-01
