v(vpre),time
3.52181539e-01,2.37915000e-06
3.52181005e-01,2.37925000e-06
3.52177629e-01,2.37935000e-06
3.52177115e-01,2.37945000e-06
3.52173760e-01,2.37955000e-06
3.52173268e-01,2.37965000e-06
3.52169934e-01,2.37975000e-06
3.52169462e-01,2.37985000e-06
3.52166149e-01,2.37995000e-06
3.52165699e-01,2.38005000e-06
3.52162407e-01,2.38015000e-06
3.52161978e-01,2.38025000e-06
3.52158708e-01,2.38035000e-06
3.52158300e-01,2.38045000e-06
3.52155052e-01,2.38055000e-06
3.52154665e-01,2.38065000e-06
3.52151438e-01,2.38075000e-06
3.52151073e-01,2.38085000e-06
3.52147868e-01,2.38095000e-06
3.52147524e-01,2.38105000e-06
3.52144342e-01,2.38115000e-06
3.52144019e-01,2.38125000e-06
3.52140859e-01,2.38135000e-06
3.52140558e-01,2.38145000e-06
3.52137419e-01,2.38155000e-06
3.52137140e-01,2.38165000e-06
3.52134024e-01,2.38175000e-06
3.52133767e-01,2.38185000e-06
3.52130673e-01,2.38195000e-06
3.52130438e-01,2.38205000e-06
3.52127366e-01,2.38215000e-06
3.52127153e-01,2.38225000e-06
3.52124105e-01,2.38235000e-06
3.52123913e-01,2.38245000e-06
3.52120887e-01,2.38255000e-06
3.52120719e-01,2.38265000e-06
3.52117715e-01,2.38275000e-06
3.52117569e-01,2.38285000e-06
3.52114589e-01,2.38295000e-06
3.52114465e-01,2.38305000e-06
3.52111507e-01,2.38315000e-06
3.52111406e-01,2.38325000e-06
3.52108472e-01,2.38335000e-06
3.52108393e-01,2.38345000e-06
3.52105482e-01,2.38355000e-06
3.52105427e-01,2.38365000e-06
3.52102539e-01,2.38375000e-06
3.52102506e-01,2.38385000e-06
3.52099642e-01,2.38395000e-06
3.52099632e-01,2.38405000e-06
3.52096791e-01,2.38415000e-06
3.52096805e-01,2.38425000e-06
3.52093987e-01,2.38435000e-06
3.52094024e-01,2.38445000e-06
3.52091231e-01,2.38455000e-06
3.52091291e-01,2.38465000e-06
3.52088521e-01,2.38475000e-06
3.52088605e-01,2.38485000e-06
3.52085859e-01,2.38495000e-06
3.52085967e-01,2.38505000e-06
3.52083245e-01,2.38515000e-06
3.52083376e-01,2.38525000e-06
3.52080679e-01,2.38535000e-06
3.52080834e-01,2.38545000e-06
3.52078161e-01,2.38555000e-06
3.52078340e-01,2.38565000e-06
3.52075691e-01,2.38575000e-06
3.52075895e-01,2.38585000e-06
3.52073270e-01,2.38595000e-06
3.52073498e-01,2.38605000e-06
3.52070898e-01,2.38615000e-06
3.52071150e-01,2.38625000e-06
3.52068576e-01,2.38635000e-06
3.52068852e-01,2.38645000e-06
3.52066302e-01,2.38655000e-06
3.52066603e-01,2.38665000e-06
3.52064078e-01,2.38675000e-06
3.52064404e-01,2.38685000e-06
3.52061905e-01,2.38695000e-06
3.52062255e-01,2.38705000e-06
3.52059781e-01,2.38715000e-06
3.52060157e-01,2.38725000e-06
3.52057708e-01,2.38735000e-06
3.52058109e-01,2.38745000e-06
3.52055685e-01,2.38755000e-06
3.52056111e-01,2.38765000e-06
3.52053714e-01,2.38775000e-06
3.52054165e-01,2.38785000e-06
3.52051793e-01,2.38795000e-06
3.52052270e-01,2.38805000e-06
3.52049924e-01,2.38815000e-06
3.52050427e-01,2.38825000e-06
3.52048107e-01,2.38835000e-06
3.52048636e-01,2.38845000e-06
3.52046342e-01,2.38855000e-06
3.52046896e-01,2.38865000e-06
3.52044629e-01,2.38875000e-06
3.52045209e-01,2.38885000e-06
3.52042968e-01,2.38895000e-06
3.52043575e-01,2.38905000e-06
3.52041361e-01,2.38915000e-06
3.52041994e-01,2.38925000e-06
3.52039806e-01,2.38935000e-06
3.52040466e-01,2.38945000e-06
3.52038305e-01,2.38955000e-06
3.52038991e-01,2.38965000e-06
3.52036858e-01,2.38975000e-06
3.52037571e-01,2.38985000e-06
3.52035464e-01,2.38995000e-06
3.52036204e-01,2.39005000e-06
3.52034125e-01,2.39015000e-06
3.52034892e-01,2.39025000e-06
3.52032840e-01,2.39035000e-06
3.52033634e-01,2.39045000e-06
3.52031610e-01,2.39055000e-06
3.52032431e-01,2.39065000e-06
3.52030435e-01,2.39075000e-06
3.52031284e-01,2.39085000e-06
3.52029315e-01,2.39095000e-06
3.52030192e-01,2.39105000e-06
3.52028251e-01,2.39115000e-06
3.52029155e-01,2.39125000e-06
3.52027243e-01,2.39135000e-06
3.52028175e-01,2.39145000e-06
3.52026292e-01,2.39155000e-06
